seriesDescription,geoAreaName,timePeriod,value,sex,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,World,2017,218.00116,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Africa,2017,497.57083,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Afghanistan,2017,638,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,South America,2017,71.65985,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Albania,2017,15,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Oceania,2017,60.97017,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Western Africa,2017,725.92145,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Algeria,2017,112,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Central America,2017,46.83022,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Eastern Africa,2017,444.25974,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Northern Africa,2017,114.97805,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Middle Africa,2017,522.49543,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Southern Africa,2017,151.04949,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Americas,2017,58.37534,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Northern America,2017,17.83316,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Angola,2017,241,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Antigua and Barbuda,2017,42,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Caribbean,2017,229.52033,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Eastern Asia,2017,28.55717,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Azerbaijan,2017,26,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Argentina,2017,39,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Southern Asia,2017,160.07645,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,South-Eastern Asia,2017,139.74162,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Australia,2017,6,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Southern Europe,2017,4.41432,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Austria,2017,5,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Bahamas,2017,70,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Bahrain,2017,14,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
