Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Age,Freq,Location,Nature,Reporting Type,Sex,Units
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,1,World,2017,218.00116,2017,,243.10585,199.21022,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,2,Africa,2017,497.57083,2017,,572.37845,443.13572,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,4,Afghanistan,2017,638,2017,,1010,427,,"Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 2019 ",,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,5,South America,2017,71.65985,2017,,76.84999,67.47916,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,8,Albania,2017,15,2017,,26,8,,"Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 2019 ",,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,9,Oceania,2017,60.97017,2017,,120.40466,34.00251,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,11,Western Africa,2017,725.92145,2017,,934.57995,586.39766,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,12,Algeria,2017,112,2017,,206,64,,"Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 2019 ",,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,13,Central America,2017,46.83022,2017,,49.02146,44.74018,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,14,Eastern Africa,2017,444.25974,2017,,508.69694,392.14975,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,15,Northern Africa,2017,114.97805,2017,,144.98816,91.39461,,UNMMEIG,,,,,,E,G,FEMALE,PER_100000_LIVE_BIRTHS
